Batch size: 256
Timestamp: 2025-08-31T18:46:28.905Z
Sender: 0x24eaF36F9e9faACd8e6212Dd86b78e4d7dADba80
Contract L1: 0xd0e74390a62a4544fafc66941996833d785b3fb0
L2 target: 0x641613d937708a00b3f1e3b327cd96fdf7bef393fe381755d16385257d6909e
Selector: 0x5421de947699472df434466845d68528f221a52fce7ad2934c5dae2e1f1cdc
Value per tx (wei): 10000

tx_hash, status, block_L1
0xbbcf2cdf46405e07542957e5c7f743306160bb2545b37835d9f739663405b844, SUCCESS, 9105372
0xa8b68a2666619662f19b30f5bc786f787c3593aac049c9637e404c255593b407, SUCCESS, 9105372
0x2d11792c78f807973f588e4efc931140eabcd32da8e0b603773499a8212290c4, SUCCESS, 9105372
0x76a20af1470c70da618154b35599c4bae956713e68e1ee9a902f5891748ce44f, SUCCESS, 9105372
0xa354e2c7076980d548a5e7a37688e84114bd75e60f3834db78b6fad12ed0d99b, SUCCESS, 9105372
0x0b25a067f3b80df4178ea7264cebceafbd2cc691c2126dbd119b4bfa627c7cdc, SUCCESS, 9105372
0x8ce7ef41e23968e0a9d9c7e0abf358b31bbfda26d5903cc7a975c09a6a2f5c73, SUCCESS, 9105372
0x43cec6a342152da9d53d10a8e15f435bbace4fa5376801704f3191dc43c06a75, SUCCESS, 9105373
0x56444dc8eca5305b7e964a587e173d049e75d9d9d782ed6f8840b3a383336aa4, SUCCESS, 9105373
0x74298059b90928e39ef81f2bf0114819b219db9c602534c0cfc57072d35f516f, SUCCESS, 9105373
0x7fa19a923a5d10d60f10c536667ec3c4f1d3067555811625f952b58c7e4ea16a, SUCCESS, 9105373
0x0e30479dd391e333b088d7bef9b8f3fd57b5db052214cef5d59cc7f4c8bc6c27, SUCCESS, 9105373
0xb685714ad18e73102636cd6081b7d2cf25d0963646d95c6cd1fc4d2a78d35ab0, SUCCESS, 9105373
0x5a08fee70b7fac5d2dd2a4b9765193d7c7ac0a0886de2280f3619b46560d861a, SUCCESS, 9105373
0xe3c221db4c60b711deda7512135463c48bf85e537c3b6eca0edf2298bc27dba1, SUCCESS, 9105373
0x6df0a3eeaf2dfd464def74bf3e31137591298ad86db72709edc4d8e1fe73f019, SUCCESS, 9105373
0x4c80d328c4175afa367d1ae1dff3026323fecc1c08a3905038ce8b10652b732a, SUCCESS, 9105373
0x855e6ee36eb8d7bad247df22f630803205556a17ba89ded9fe1383c94a36c6b4, SUCCESS, 9105374
0xde124d91521085cae6080a3fee15742565eaaed7aaaaa5fa16cd7d896c807899, SUCCESS, 9105374
0xb482abf92801f720455ac54e5651aca861f988b538d83aa613f0d438a589c914, SUCCESS, 9105374
0x0453a41e6749bc80d58ccf397eb0e3a7fce3cd2fc3916ad05719845db4f57a6b, SUCCESS, 9105374
0x92aad5d7a55d22a5028d0358ac68df997515e90b859fd2ac8245bf4fdab1cad7, SUCCESS, 9105374
0xccaa91b4c4ffe75f18ae42e4eb4d56c967ed54b132d6f69c2eb1d34cb7e05c54, SUCCESS, 9105374
0x059f25563c74e42946cfebd9171e4442acf35b9c020318c82d97b1a6ffc23589, SUCCESS, 9105374
0x21114bba5bfdbb5e021232942c3c52320c05b157f763be1c7c9f0695428e74d5, SUCCESS, 9105374
0xa9bb29bf503e916fd590ab067689a14d5510d88d1d17b0699b432e351ac2d133, SUCCESS, 9105374
0x5e3f44bac4afacdd2b7c52cb0598356276acc7df9d120b9b4d8f8383e47a341d, SUCCESS, 9105374
0xc83298b0f9ec3766aad5f3e4fcb749dd3f4ebd48dc0288ed3b134d9914b81c60, SUCCESS, 9105374
0x2e542a87514f5b1dbaecbdaaa9358f488ef1b60b000c8f35492d6b512d8abe55, SUCCESS, 9105375
0x5d9a68b7924778d228443f00e7c28e9fb2ffda33de32c76845f77235f97dee49, SUCCESS, 9105375
0x4a69f7d08a7a66e464a41b0cc765ba0bef6d83ad293b957262fd84611a4fe5c2, SUCCESS, 9105375
0x2f1dd6cd52f9a6d22d391f9a2460167fe768836926e122fcaf0b7248bb500ee8, SUCCESS, 9105375
0x5250b9f0468e0cf6176258fe76041048c033a35799a0f92b259b6bf9803d296e, SUCCESS, 9105375
0xa653c999550eff4a179f91ef9c4e3130b15fc15cadbf8e15f30c88ccc05cd826, SUCCESS, 9105375
0xe036bc035d6a376c4ece27d337f07ab0c527f22ae6ee35f557a17014935ee64f, SUCCESS, 9105375
0x1dbfbc22671ed38c346175caad540bad15ce9ccaf91da3800bb6d6e3cba257c2, SUCCESS, 9105375
0xb39120ece2be4f2671708da11fe918ff7b0c68fd942d9fdd2eb0956886a25719, SUCCESS, 9105375
0x1cefd29cffc8acc5702991c3a5da6771061e8b6ae980ac6252bb87f7d30c0f85, SUCCESS, 9105375
