Batch size: 128
Timestamp: 2025-08-31T18:44:04.856Z
Sender: 0x24eaF36F9e9faACd8e6212Dd86b78e4d7dADba80
Contract L1: 0xd0e74390a62a4544fafc66941996833d785b3fb0
L2 target: 0x641613d937708a00b3f1e3b327cd96fdf7bef393fe381755d16385257d6909e
Selector: 0x5421de947699472df434466845d68528f221a52fce7ad2934c5dae2e1f1cdc
Value per tx (wei): 10000

tx_hash, status, block_L1
0x2a7df9888602004327e5353699caac19eeb20ab9658ad003d894ee7a2f98835f, SUCCESS, 9105360
0x33b2aff3fbf51faf5a7745fec979a16d208e8da6c4d9486e57029b9bf945f070, SUCCESS, 9105360
0xc09d2682a817d2d3d6fd042e723a51877922faa1c5ad0d5963a75ecc8d919446, SUCCESS, 9105360
0xfc0ca9e0b538d269f436310478c999238538c476a3b0f3b7721fb92f824f800a, SUCCESS, 9105360
0xbea6f1c790597405ff0689e45357574a4df6a5bd57b6b051266fcbb2701e22d2, SUCCESS, 9105360
0x29c6787e1bd9b0f7a478e2a919e3b78ef21150a292b47d21eddc8db213170830, SUCCESS, 9105360
0xb89b73c8108f3f0a9a6f2d13a4b2809f80c0d602d307316c2be4114ae567100a, SUCCESS, 9105360
0xab2f0aee09789ce1ea42f0117aa7bf2ebb09dbbcf4ea0b673ca26a1bc1b27086, SUCCESS, 9105360
0x1caa7e33fda1aac025b434dd1052e9773f2d90e6d361fec8b8166ca1d425c8c2, SUCCESS, 9105361
0x9824a23b6f8655ea33de09faeddf99e51fe8b625103d20033bdb9769244ceee9, SUCCESS, 9105361
0xdcda15a8cb110d297f39ad4dbb7489ee50ffd7184bffdeda2dbc54099f12fb94, SUCCESS, 9105361
0xde0c8063f659e83f1886751b135ca2fc38dbc44de497ed1b05efca9ec146f3cc, SUCCESS, 9105361
0x1d9d1c360caec69fe653c95c67d70c260cb0605b82d3bb4414f1b4e1b793c28a, SUCCESS, 9105361
0x0c5919f21cd4203af79695fd44d28faa7b3f4abf136417ce1f75ef5531d567ff, SUCCESS, 9105361
0x4e214e6f19d78075bef359173a069b2859cd0b5a61ccc8d8fadac2f77631f844, SUCCESS, 9105361
0x96596378bf36d4c9d1f150898caefea671da86cb7ae082b2ef647d1c7b4765b8, SUCCESS, 9105361
0xc420b5f45afddb7c4d2c6b515b0605278bb4bdb80710bd2650895334028cf24f, SUCCESS, 9105361
0xa11befd044e2cd60b61253ff712366a385929bb972099c0dcc1eb7985fa163fb, SUCCESS, 9105361
0x7d1274c2520b19d8d5f7b291e0ed70e8181ea884fa780b15e30a36ce294b397b, SUCCESS, 9105361
0x6995b639ea102c558afc7464391b400086fb279ee7cf892f6e7d56a5db7ab1e6, SUCCESS, 9105361
0x6cd344bdab85a7bad027798bc6d40b58397eab2e438d44292fef6d8eeb266a59, SUCCESS, 9105362
0xd997327005431928e3af3b7f1732b425f5c460ee9375f834b8bc6ffc505b1957, SUCCESS, 9105362
0x2821144b48857cf2954126a96f545f2d531be17e356f0d479ca1076c4995cafc, SUCCESS, 9105362
0xd97d48a404bc393cd9a6734e5d34b76c510e84ac286083003c4489f6b564b5c0, SUCCESS, 9105362
0xb569905886fc5bc2290a55f1db24d37b79ce3a110fca75b0f7ab79a37f464acd, SUCCESS, 9105362
0x962158729e22b40099ffe9d36b87a1bca0120986d33f334036622c2d82666d67, SUCCESS, 9105362
0xa404b393a19e19aa0b0187bd36205f18ac0307d796afad738d9854e7ef40c4fd, SUCCESS, 9105362
0xa1d9cedad57959ab5d31903aac034fb0d4ac749489f14c937266147029fdb893, SUCCESS, 9105362
0x0271e563d63963ec0f404bb636e842ee67be450855ade13294e156b98ac0d3c4, SUCCESS, 9105362
0xf61b65e1c0289bcbe2f96ed00279fee2f266e7b7096129b08289e804e147ed1b, SUCCESS, 9105363
0xb7a9ba68918daae8bea4cf20f039a99e9e33d1089a578dd4f9705c5fe5d84068, SUCCESS, 9105363
0x526a611e1e54d534c32f9fbc4e52a5b26f4f22f1b85db1035841fcf6916c8619, SUCCESS, 9105363
0xd90ce90d27dcac4b5cea425dd4d247769d06f500387da0bd1139bf7137940755, SUCCESS, 9105363
0xe34b59b761876b8a5ba59051b3e7651254a4eeeab36bc162d1b9abbbfbcb940e, SUCCESS, 9105363
0xb3cb1c67ad740dcf66f29d407065c341b5a0de0a19543c163d0adfc8645e8a9a, SUCCESS, 9105363
0x50155d64d2f5a0b879454efb4261022fa4783ed131e6566f60c8f065466a5058, SUCCESS, 9105363
0xdeebcb78a07bc5dfa5614fd85e1c3220b6ea6038792897820b741ef81c32dcfa, SUCCESS, 9105363
0xbb3f16f284048259eef626bc9fa375070148590a6eba854cf996dd0556aeaa2d, SUCCESS, 9105363
0xf755c2e02bcf8df6421253362c1fcf3670f6d965f6dd4b0e550d0cc8dd689a02, SUCCESS, 9105363
0xac2da4180a526844c5cfa33ba19ac417c6dff0da2921507bd21227bf746dbf25, SUCCESS, 9105363
0x57ac00ffff4005ca98f3d678c7ec675cbd3b6b27b14300b1a04353595ee0c211, SUCCESS, 9105363
0x5f7ae11ca1f1fa8c3b1ad45b2b0d8c74150528c2fded05d1511e4e5809841e38, SUCCESS, 9105363
0xfb0859438ae06cd30e18496ef49f17f6e8814f5eed4142870acdb506cdef193c, SUCCESS, 9105363
0xadaf905f38416faa7a8f3bb28010772cf4c1c88ee27bdf24b939b6ba4199ba03, SUCCESS, 9105363
0x5ba9a3b6b2e510dc105a1de34c925c7dcf6493120a33d064b4e6dd37130029e2, SUCCESS, 9105364
0x626dc143222103ee61de44e6e8dad03b8d442265260d8d502c3123fa09847c52, SUCCESS, 9105364
0x763a4a6e5877d977a228643b4db43f94ee5df9740b5e5fdc899bc56537bff24b, SUCCESS, 9105364
0x34c1d2a2f15b7ce5e1981a8516f35977890706d9dc77aa22c6b9b47757caf04b, SUCCESS, 9105364
0xea9ca0bfea9887d4ff3dbe704d71077db247d7818f69ce3acdceb98a9e659307, SUCCESS, 9105364
0x52d6d2126017419a85a42742295d5148a4dd168c91256ca9dacddc5d377b6630, SUCCESS, 9105364
0x2214c5bd36a275cfd41810d6c5c64686a01e6f9b65dd45a307e95a1770101aad, SUCCESS, 9105364
0xccdb630702cee9ccb0355a7776428fa6e31a4ccaa00c4d317b49272437da9a61, SUCCESS, 9105364
0x6c2e197de90e2959bc545b9b26c16743b9c7a5c43b70a9f003bc5abcae39b39c, SUCCESS, 9105365
0x0546233128f476c8d798ce95e16f9465c0685c61ea53191d86b881cd0cc64ce7, SUCCESS, 9105365
0x5581617e533294d7270d33658ad068894ed80ce722dab798b877396d5f74accc, SUCCESS, 9105365
0x1bc60a278248df0623142ae71a11484a42ed8e1403a7508ce66806c09015ef5a, SUCCESS, 9105365
0xcced2d3a266169981e62c0bffd2227da778c6c35aee86dc8021dc29497ae6523, SUCCESS, 9105365
0xe78536ed1e6d8d20fb52f50114c175473bc7a90a7d13a6881b73876449f2236a, SUCCESS, 9105365
0x93c0f172cf701d3b4db0b91d8bf0b9d28e949c2bd7c80b7cf36fdd55d7b1fda6, SUCCESS, 9105365
0x0f1bf7ae62eacf0e67915e1c58fb5e880501c7a1ebf26cb26b66c7f71748ee84, SUCCESS, 9105365
0xd5a56e6a910e0df40b942c1548cebeb8592ca337f6a59b9c7c69fcf2e5a20d89, SUCCESS, 9105365
0x59af87defa4368b99d4397fd77a472f3f99b1efe092fa7a2672145dffdad6d56, SUCCESS, 9105365
0x2fad08f593c0ad8b79f5dab56dd10da29392a6d924f8f2a810ea7c16cccc1659, SUCCESS, 9105365
0xf732738a08dd30494bccf9f106914e6ba34122c53a7d751205f16f1e49c02d9e, SUCCESS, 9105365
0xcdd56d6629b4a1f9323425a235bb96e768d1e8c052b8edfa48456f203ad46389, SUCCESS, 9105366
