Batch size: 512
Timestamp: 2025-08-31T18:51:17.440Z
Sender: 0x24eaF36F9e9faACd8e6212Dd86b78e4d7dADba80
Contract L1: 0xd0e74390a62a4544fafc66941996833d785b3fb0
L2 target: 0x641613d937708a00b3f1e3b327cd96fdf7bef393fe381755d16385257d6909e
Selector: 0x5421de947699472df434466845d68528f221a52fce7ad2934c5dae2e1f1cdc
Value per tx (wei): 10000

tx_hash, status, block_L1
0xd1e998ef5bd50c6e7aae7cd589bd783fd89496c217e3ad551738decbc4c6af23, SUCCESS, 9105400
0x4959a3caea1a2776255c4d12e3a2d4d7aee04c65c09b6344485c12fbe89af5c1, SUCCESS, 9105400
0xc6c851cdd729b723fdb1107071baad8c306204134b880caef21056d8e4f102b6, SUCCESS, 9105400
0xb582b2e492fa0fadc10c377da793837886e01dc7ec2dc544d649789d86510c91, SUCCESS, 9105400
0xc6cfd78cdbac413e1fa719a595fe29ab38ca07d2013ddf8405d4e6b0709aeaf5, SUCCESS, 9105400
0x9cb5b14da08bdba75280645b8c9e0c3dcd096d4d522b78b7f76141ca7b97e728, SUCCESS, 9105400
0x4a644d0400408b287d25d0ea6b1521ccd1b549b387163c0183d690a6554876a0, SUCCESS, 9105400
0x39c479f620e162c640188d4c10d1a029562f6c31419fe65f8c11e66b65c35904, SUCCESS, 9105400
0x6141bc326d2fa268f1fab8e5817e494dcd9bfe4b7bb284a9200c4f55e89f3eb2, SUCCESS, 9105400
0xe5f4c11f59c6341f5effdc3abac290c53be045dccb821bfa789022973599cb38, SUCCESS, 9105401
0x4db98930dd23f455ad8992ed6180bdd80adf85d0ff3445deb31ef52b34dbdc85, SUCCESS, 9105401
0xfa7664fc4efc264d6ba42a7147c360a1c5324a684c19707a6c3e91625916e8da, SUCCESS, 9105401
0x1b6f33f7deaa22eded575464e917a38a7505f99a1e12fe48b1fc03c7522b99b8, SUCCESS, 9105401
0x2aca31fedc023778ffa5dd7e769248d8ee3aaaac23d40702c9928ec60ed4759f, SUCCESS, 9105401
0xe54a8ad1fb3da660d5f8980db8cd3383da50ce4610418412abd40df64d989816, SUCCESS, 9105401
0xfe3e6fe199122efce3021f36f99b88bca44125188ed82e5e7fd2b3e0e9d8fcef, SUCCESS, 9105401
0x71d5a4e208245645d0d9bc64f215e01b25c7ac4338297b2422a15fbe5514b4a7, SUCCESS, 9105401
0x098d3fedb19fdf27f923226f85cb91d8920d940b78e09d7515b458516af7389b, SUCCESS, 9105401
0xf2d0531993cf4a6ebec0fbf94fc5ea3b0157293994f2b8c427f408276118fb80, SUCCESS, 9105401
0x02646d19b11eb67c3f644799aa78ffaa85ae624a546f97c22fdad7032bf9c8d1, SUCCESS, 9105402
0xcbfac58f95d498589391f79e57db69bb6cdf0524317036be5ae4679b1b7f0d6b, SUCCESS, 9105402
0xfbb50d24f0da2952d3fa9c637d7e52b8e474fa6b975abefa56078d40ee24a888, SUCCESS, 9105402
0x4eccb30fdff731b37390b83e2f12771847c7184562e2a93bcfab2c57ca12be1f, SUCCESS, 9105402
0xa1f21620faf11f378a24257c7b0e2da0454159278a249c93813593779d18f003, SUCCESS, 9105402
0xac2a0b7c0d2367a6fefed886d5ec50a6c6c549fba1595e1eb50d6f7187645c9f, SUCCESS, 9105402
0x694aa2914fd3abb2e03ac332015f73c1339e0fa37b317cc56bdbbe7ac9c825f2, SUCCESS, 9105403
0x2cfab071bc4b2ed4487f8b7a0f0e0c91d9c9281fed122be9091178d684d9fe10, SUCCESS, 9105403
0x391cfa0798b6d5cc08e1c982c79b7149ce67bd8c9ab0ad4642f33e1753a8eacc, SUCCESS, 9105403
0x300c56f78bb1828797abe0d410ec8d2f23ccf6af1c8199c0af81abd36ee69bfd, SUCCESS, 9105403
0x5e338f83447349fd82d7c519e5ee06b4d11fddefec442f5c91103c457a99a30a, SUCCESS, 9105403
0xf576e3d33d163741ae0cd5e8c258a733935d8d9bd04e073911f22ef81879a377, SUCCESS, 9105403
0x72d0a77e674d39dcc60efaa43633812626a0d442cbc28baea9b519fff63a8283, SUCCESS, 9105403
0x1e028fcd122106708e303313d453dcdc3ca919e69e7f1e014b1cb266d1767c0e, SUCCESS, 9105403
0x0a6ad7736e171d908bd96c54fdd6004f9e828c5109193a1800199fdbfbf040f1, SUCCESS, 9105403
0x02456db4077745a48e0222e098a15dffa0b1229eb4c864edf661216dbeaaaeeb, SUCCESS, 9105403
0x889e1f0fdb91bc12e10648d647433452ac96e00e0faa88dc46554e65b43cd507, SUCCESS, 9105403
0x7b3dddcd7c7e84d11594cd830b9e3df0e5cee48d2fc8cc3b5e68782637b34e73, SUCCESS, 9105403
0xc5507114712ffb3d14f0445d58484da7b5539fa74bab12e925d28af68580ff8a, SUCCESS, 9105404
0xb7be8bcd861ffba794a41f27377548d90b5a4e6b63ab45cf0d5f67a49264eb41, SUCCESS, 9105404
0x9fa950b879a0848ee27fb21ef6b60a1c4d44d8c8dcae06b75a8162533babe3ce, SUCCESS, 9105404
0x990b1ec30dbbbaa5c6897034ecbf18588cc87ee04a63d4c4141084dd290da7a9, SUCCESS, 9105404
0x1aba619dee4e0a3e349e30ea6329c7b437d102021df7f2a428e8d3816a45e89b, SUCCESS, 9105404
0x7125158a24cd37f00489ae51e9ee56770a4c58669add09c7e29a6e3e81f0d0cd, SUCCESS, 9105404
0x858d6ed0df6848b5bdc75245da2685cbe0dcb410975c5bcf7a2fc6f3a2a36298, SUCCESS, 9105404
0x9dc5818cb98eaa59e2a8127b08c483d48f71221170ef28ddb3131bf92ed44633, SUCCESS, 9105404
0x93018285d8698fd85328378a60ca3465bea4a59f960c7a60ba6bdef2fbbd9f34, SUCCESS, 9105404
0xff07affcb8f7b8c3a22af017e65badff4b95c41e43a17c336c6c27d4b06ad1e5, SUCCESS, 9105404
0xd3ad6cf5927522dc9068fbcc79a3ba90328edde188b43850e364b9f3e431361b, SUCCESS, 9105404
0x578ad7d9a9722edc4a6b9fa2b80771b2e0f111703648c1cf964df268028d877f, SUCCESS, 9105404
